timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1648555991399,354,HTTP Request,201,Created,Thread Group 1-3,text,true,,863,229,3,3,https://reqres.in/api/users,354,0,178
1648555990413,1312,HTTP Request,201,Created,Thread Group 1-1,text,true,,873,229,3,3,https://reqres.in/api/users,1286,0,1106
1648555990640,1085,HTTP Request,201,Created,Thread Group 1-2,text,true,,863,229,3,3,https://reqres.in/api/users,1059,0,883
1648555992143,314,HTTP Request,201,Created,Thread Group 1-4,text,true,,871,229,1,1,https://reqres.in/api/users,314,0,164
1648555992904,334,HTTP Request,201,Created,Thread Group 1-5,text,true,,861,229,1,1,https://reqres.in/api/users,334,0,177
1648555994388,322,HTTP Request,201,Created,Thread Group 1-7,text,true,,859,229,2,2,https://reqres.in/api/users,322,0,164
1648555993636,1309,HTTP Request,201,Created,Thread Group 1-6,text,true,,863,229,1,1,https://reqres.in/api/users,1309,0,165
1648555995136,304,HTTP Request,201,Created,Thread Group 1-8,text,true,,867,229,1,1,https://reqres.in/api/users,304,0,157
1648555995887,334,HTTP Request,201,Created,Thread Group 1-9,text,true,,863,229,1,1,https://reqres.in/api/users,334,0,172
1648555996635,326,HTTP Request,201,Created,Thread Group 1-10,text,true,,861,229,1,1,https://reqres.in/api/users,326,0,166
1648555997385,328,HTTP Request,201,Created,Thread Group 1-11,text,true,,865,229,1,1,https://reqres.in/api/users,328,0,167
1648555998136,315,HTTP Request,201,Created,Thread Group 1-12,text,true,,861,229,1,1,https://reqres.in/api/users,315,0,162
1648555998884,331,HTTP Request,201,Created,Thread Group 1-13,text,true,,865,229,1,1,https://reqres.in/api/users,331,0,169
1648555999634,315,HTTP Request,201,Created,Thread Group 1-14,text,true,,869,229,1,1,https://reqres.in/api/users,315,0,170
1648556000385,345,HTTP Request,201,Created,Thread Group 1-15,text,true,,867,229,1,1,https://reqres.in/api/users,345,0,161
1648556001135,303,HTTP Request,201,Created,Thread Group 1-16,text,true,,865,229,1,1,https://reqres.in/api/users,303,0,158
1648556001884,304,HTTP Request,201,Created,Thread Group 1-17,text,true,,861,229,1,1,https://reqres.in/api/users,304,0,159
1648556002638,325,HTTP Request,201,Created,Thread Group 1-18,text,true,,861,229,1,1,https://reqres.in/api/users,325,0,166
1648556003383,308,HTTP Request,201,Created,Thread Group 1-19,text,true,,864,229,1,1,https://reqres.in/api/users,308,0,160
1648556004134,318,HTTP Request,201,Created,Thread Group 1-20,text,true,,857,229,1,1,https://reqres.in/api/users,318,0,167
